Kms_Driven,modelYear,centralVariantId,variantName,price,Mileage,Engine_Displacement,Max Power,Max Torque,No of Cylinder,BoreX Stroke,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Turning Radius,Front Brake Type,Rear Brake Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed,city,bt,oem,model,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Color,Engine Type,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Tyre Type
7,2023,7663,69.81260057098365,6250000,12.1,1998,268.0,400.0,4.0,72.6523747368421,4882.0,1894.0,1848.0,3008.0,1458.3461457676958,1459.0579069277742,2027.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,17,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095,5,7,12,104,163,2,4,3,28,1,0,138,129,3,49,3,0,68,4,4,21
52,2016,1184,69.81260057098365,620000,15.4,1497,117.3,145.0,4.0,2.99,4453.0,1735.0,1666.0,2662.0,1458.3461457676958,1459.0579069277742,1225.0,1663.445324881141,5.3,236.0,185.39999999999998,16,5.0,175.14117647058825,223.0,12.667795612627074,12.854019118869493,175.7024856765095,5,7,8,60,225,2,4,5,414,1,1,116,476,8,49,0,0,21,12,4,28
60,2015,887,1.5,350000,15.85,1499,110.4,140.0,4.0,79.0,3999.0,1765.0,1708.0,2520.0,1519.0,1524.0,1230.0,1663.445324881141,5.3,236.0,185.39999999999998,0,5.0,175.14117647058825,346.0,11.0,16.0,182.0,5,7,6,50,207,4,4,3,414,1,1,110,396,3,23,0,0,8,12,4,26
32,2019,5607,1.2,463999,18.9,1197,81.86,113.75,4.0,72.6523747368421,3765.0,1660.0,1520.0,2425.0,1479.0,1493.0,1060.0,1663.445324881141,4.8,236.0,185.39999999999998,14,5.0,175.14117647058825,256.0,12.667795612627074,12.9,165.0,5,2,9,77,228,2,4,3,423,1,1,9,320,3,49,0,0,8,12,4,13
47,2017,1339,1.2,412000,18.7,1199,88.7,110.0,4.0,72.6523747368421,3955.0,1694.0,1544.0,2530.0,1458.3461457676958,1459.0579069277742,1044.0,1663.445324881141,5.1,236.0,185.39999999999998,15,5.0,175.14117647058825,354.0,12.667795612627074,13.7,172.0,5,2,8,66,51,2,4,3,413,3,1,110,476,8,64,0,0,8,12,4,26
10,2019,3954,69.81260057098365,375000,23.95,998,67.1,90.0,3.0,72.6523747368421,3545.0,1490.0,1475.0,2360.0,1295.0,1290.0,784.0,1210.0,4.6,236.0,185.39999999999998,0,5.0,175.14117647058825,177.0,12.667795612627074,13.3,145.0,5,2,20,156,159,4,4,3,423,3,0,116,289,3,53,0,0,8,12,4,26
41,2015,1287,69.81260057098365,621000,25.1,1498,98.6,200.0,4.0,76.0,4440.0,1695.0,1495.0,2600.0,1480.0,1465.0,1165.0,1663.445324881141,5.3,236.0,185.39999999999998,15,4.0,175.14117647058825,510.0,16.0,10.0,190.0,5,8,8,63,173,2,1,3,409,1,1,138,468,3,23,3,0,22,12,4,26
17,2020,8087,69.81260057098365,443000,20.3,1086,68.07,99.07,4.0,72.6523747368421,3610.0,1645.0,1560.0,2400.0,1476.0,1494.0,1030.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,0,5.0,175.14117647058825,235.0,12.667795612627074,12.854019118869493,175.7024856765095,5,2,9,81,196,2,4,3,422,3,1,116,29,8,49,0,0,8,12,1,26
9,2021,7431,1.0,422000,21.74,999,67.0,91.0,3.0,72.6523747368421,3731.0,1579.0,1474.0,2422.0,1458.3461457676958,1459.0579069277742,730.0,1663.445324881141,4.9,236.0,185.39999999999998,0,5.0,175.14117647058825,279.0,12.667795612627074,12.854019118869493,175.7024856765095,5,2,27,238,74,2,4,3,414,1,1,110,344,3,53,0,0,8,12,1,26
70,2019,5475,69.81260057098365,550000,17.5,1199,88.7,110.0,4.0,72.6523747368421,3999.0,1734.0,1601.0,2555.0,1458.3461457676958,1459.0579069277742,1084.0,1663.445324881141,5.3,236.0,185.39999999999998,16,5.0,175.14117647058825,363.0,12.667795612627074,15.31,164.26,5,7,8,69,72,4,4,3,409,1,1,116,476,8,53,0,0,8,12,1,26
